genomeversion	biastype	biassubtype	chr	start	end
hg19	transcription	ts	chr19	4502204	4517716
hg19	transcription	ts	chr19	4522543	4535236
hg19	transcription	ts	chr19	4528439	4540079
hg19	transcription	ts	chr19	4536421	4540486
hg19	transcription	ts	chr19	4542600	4559820
hg19	transcription	ts	chr19	4641386	4670382
hg19	transcription	ts	chr19	4675236	4724685
hg19	transcription	ts	chr19	4815944	4831716
hg19	transcription	ts	chr19	4838353	4867780
hg19	transcription	ts	chr19	4890449	4902879
hg19	transcription	ts	chr19	5158506	5340814
hg19	transcription	ts	chr19	5587010	5624057
hg19	transcription	ts	chr19	5678432	5680907
hg19	transcription	ts	chr19	5691845	5720583
hg19	transcription	ts	chr19	5782971	5784776
hg19	transcription	ts	chr19	5784016	5785630
hg19	transcription	ts	chr19	5784843	5791249
hg19	transcription	ts	chr19	5830621	5839742
hg19	transcription	ts	chr19	5842899	5851485
hg19	transcription	ts	chr19	5865837	5903798
hg19	transcription	ts	chr19	5866182	5903798
hg19	transcription	ts	chr19	5891287	5904017
hg19	transcription	ts	chr19	5916150	5978153
hg19	transcription	ts	chr19	5993175	6199583
hg19	transcription	ts	chr19	6212966	6279959
hg19	transcription	ts	chr19	6306153	6333640
hg19	transcription	ts	chr19	6375159	6379069
hg19	transcription	ts	chr19	6379580	6393992
hg19	transcription	ts	chr19	6413359	6424805
hg19	transcription	ts	chr19	6426048	6433790
hg19	transcription	ts	chr19	6436090	6465214
hg19	transcription	ts	chr19	6467218	6482568
hg19	transcription	ts	chr19	6494330	6502859
hg19	transcription	ts	chr19	6583194	6604114
hg19	transcription	ts	chr19	6663148	6670599
hg19	transcription	ts	chr19	6677715	6730573
hg19	transcription	ts	chr19	6729925	6737614
hg19	transcription	ts	chr19	6752171	6767599
hg19	transcription	ts	chr19	7037759	7040190
hg19	transcription	ts	chr19	7056220	7058651
hg19	transcription	ts	chr19	7112266	7294045
hg19	transcription	ts	chr19	7541761	7562335
hg19	transcription	ts	chr19	7684411	7694451
hg19	transcription	ts	chr19	7696497	7698634
hg19	transcription	ts	chr19	7753644	7767032
hg19	transcription	ts	chr19	7793843	7798792
hg19	transcription	ts	chr19	7804879	7812464
hg19	transcription	ts	chr19	7933605	7939326
hg19	transcription	ts	chr19	7963689	7968427
hg19	transcription	ts	chr19	7989372	7991051
hg19	transcription	ts	chr19	7991603	8008805
hg19	transcription	ts	chr19	8023463	8070543
hg19	transcription	ts	chr19	8130286	8214730
hg19	transcription	ts	chr19	8367011	8373240
hg19	transcription	ts	chr19	8373167	8386263
hg19	transcription	ts	chr19	8373490	8386280
hg19	transcription	ts	chr19	8387468	8408146
hg19	transcription	ts	chr19	8554940	8567996
hg19	transcription	ts	chr19	8575462	8579048
hg19	transcription	ts	chr19	8585674	8642461
hg19	transcription	ts	chr19	8645126	8675620
hg19	transcription	ts	chr19	8807751	8809172
hg19	transcription	ts	chr19	8920380	8943004
hg19	transcription	ts	chr19	8959520	9092018
hg19	transcription	ts	chr19	9212945	9213982
hg19	transcription	ts	chr19	9225274	9226439
hg19	transcription	ts	chr19	9236688	9237626
hg19	transcription	ts	chr19	9324526	9325542
hg19	transcription	ts	chr19	9404951	9420514
hg19	transcription	ts	chr19	9523272	9546254
hg19	transcription	ts	chr19	9577183	9609283
hg19	transcription	ts	chr19	9638667	9649303
hg19	transcription	ts	chr19	9671029	9695209
hg19	transcription	ts	chr19	9715356	9732075
hg19	transcription	ts	chr19	9759330	9785776
hg19	transcription	ts	chr19	9800600	9811452
hg19	transcription	ts	chr19	9862669	9903856
hg19	transcription	ts	chr19	9920943	9938492
hg19	transcription	ts	chr19	9964394	10047228
hg19	transcription	ts	chr19	10070237	10121147
hg19	transcription	ts	chr19	10203014	10213472
hg19	transcription	ts	chr19	10225693	10230596
hg19	transcription	ts	chr19	10244021	10341962
hg19	transcription	ts	chr19	10334520	10341948
hg19	transcription	ts	chr19	10415479	10420556
hg19	transcription	ts	chr19	10416103	10426691
hg19	transcription	ts	chr19	10416103	10426685
hg19	transcription	ts	chr19	10426147	10431354
hg19	transcription	ts	chr19	10426888	10444316
hg19	transcription	ts	chr19	10444452	10450499
hg19	transcription	ts	chr19	10461209	10491352
hg19	transcription	ts	chr19	10501810	10530797
hg19	transcription	ts	chr19	10596796	10614417
hg19	transcription	ts	chr19	10623623	10628607
hg19	transcription	ts	chr19	10663761	10676713
hg19	transcription	ts	chr19	10677138	10679735
hg19	transcription	ts	chr19	10683347	10697991
hg19	transcription	ts	chr19	10943114	10946994
hg19	transcription	ts	chr19	11033444	11039357
hg19	transcription	ts	chr19	11242196	11266484
hg19	transcription	ts	chr19	11274943	11308467
hg19	transcription	ts	chr19	11309971	11373157
hg19	transcription	ts	chr19	11432722	11456946
hg19	transcription	ts	chr19	11453452	11457194
hg19	transcription	ts	chr19	11488236	11495018
hg19	transcription	ts	chr19	11495017	11530018
hg19	transcription	ts	chr19	11531272	11546603
hg19	transcription	ts	chr19	11562141	11591861
hg19	transcription	ts	chr19	11577055	11616513
hg19	transcription	ts	chr19	11594242	11616738
hg19	transcription	ts	chr19	11616731	11639989
hg19	transcription	ts	chr19	11661962	11670051
hg19	transcription	ts	chr19	11685475	11689823
hg19	transcription	ts	chr19	11832080	11849824
hg19	transcription	ts	chr19	12125547	12146556
hg19	transcription	ts	chr19	12128703	12163782
hg19	transcription	ts	chr19	12154620	12167127
hg19	transcription	ts	chr19	12203658	12251222
hg19	transcription	ts	chr19	12242932	12267546
hg19	transcription	ts	chr19	12251032	12267546
hg19	transcription	ts	chr19	12335501	12405702
hg19	transcription	ts	chr19	12428291	12444534
hg19	transcription	ts	chr19	12460185	12476719
hg19	transcription	ts	chr19	12490003	12512088
hg19	transcription	ts	chr19	12500830	12512085
hg19	transcription	ts	chr19	12502763	12551896
hg19	transcription	ts	chr19	12540521	12551926
hg19	transcription	ts	chr19	12543917	12595630
hg19	transcription	ts	chr19	12571998	12624668
hg19	transcription	ts	chr19	12572373	12662288
hg19	transcription	ts	chr19	12636184	12662356
hg19	transcription	ts	chr19	12636534	12691789
hg19	transcription	ts	chr19	12688775	12750912
hg19	transcription	ts	chr19	12754645	12759211
hg19	transcription	ts	chr19	12757325	12777556
hg19	transcription	ts	chr19	12775642	12780211
hg19	transcription	ts	chr19	12778885	12782170
hg19	transcription	ts	chr19	12786531	12792716
hg19	transcription	ts	chr19	12798867	12807457
hg19	transcription	ts	chr19	12810008	12834825
hg19	transcription	ts	chr19	12841454	12845589
hg19	transcription	ts	chr19	12873817	12983554
hg19	transcription	ts	chr19	12907634	12912694
hg19	transcription	ts	chr19	12936292	12946242
hg19	transcription	ts	chr19	12986025	12992282
hg19	transcription	ts	chr19	12995237	12997995
hg19	transcription	ts	chr19	13009600	13030090
hg19	transcription	ts	chr19	13033293	13044851
hg19	transcription	ts	chr19	13064972	13068050
hg19	transcription	ts	chr19	13209847	13213975
hg19	transcription	ts	chr19	13215716	13228381
hg19	transcription	ts	chr19	13254872	13261197
hg19	transcription	ts	chr19	13317256	13734804
hg19	transcription	ts	chr19	13890884	13900972
hg19	transcription	ts	chr19	13993161	14017265
hg19	transcription	ts	chr19	14042000	14064204
hg19	transcription	ts	chr19	14072350	14117851
hg19	transcription	ts	chr19	14164177	14169971
hg19	transcription	ts	chr19	14192431	14196687
hg19	transcription	ts	chr19	14198652	14201848
hg19	transcription	ts	chr19	14202500	14228896
hg19	transcription	ts	chr19	14230321	14247768
hg19	transcription	ts	chr19	14260750	14316999
hg19	transcription	ts	chr19	14519631	14530192
hg19	transcription	ts	chr19	14583278	14586174
hg19	transcription	ts	chr19	14588572	14606944
hg19	transcription	ts	chr19	14625582	14640582
hg19	transcription	ts	chr19	14676890	14682874
hg19	transcription	ts	chr19	14729929	14800839
hg19	transcription	ts	chr19	14843205	14889353
hg19	transcription	ts	chr19	14903302	14946188
hg19	transcription	ts	chr19	14909958	14911023
hg19	transcription	ts	chr19	14951760	14952689
hg19	transcription	ts	chr19	14991138	14992264
hg19	transcription	ts	chr19	15060846	15133802
hg19	transcription	ts	chr19	15225795	15236596
hg19	transcription	ts	chr19	15270444	15311792
hg19	transcription	ts	chr19	15337730	15344246
hg19	transcription	ts	chr19	15347647	15443356
hg19	transcription	ts	chr19	15464196	15490612
hg19	transcription	ts	chr19	15490861	15529952
hg19	transcription	ts	chr19	15530792	15560762
hg19	transcription	ts	chr19	15562438	15575377
hg19	transcription	ts	chr19	15579456	15609767
hg19	transcription	ts	chr19	15917817	15918936
hg19	transcription	ts	chr19	15988834	16008930
hg19	transcription	ts	chr19	16023182	16045677
hg19	transcription	ts	chr19	16272179	16284336
hg19	transcription	ts	chr19	16466050	16582896
hg19	transcription	ts	chr19	16589868	16607003
hg19	transcription	ts	chr19	16589878	16739015
hg19	transcription	ts	chr19	16628700	16653341
hg19	transcription	ts	chr19	16660642	16683193
hg19	transcription	ts	chr19	16685718	16739873
hg19	transcription	ts	chr19	16688453	16770926
hg19	transcription	ts	chr19	16741562	16771253
hg19	transcription	ts	chr19	17003758	17137625
hg19	transcription	ts	chr19	17160539	17186435
hg19	transcription	ts	chr19	17342692	17356749
hg19	transcription	ts	chr19	17346749	17366257
hg19	transcription	ts	chr19	17359985	17393595
hg19	transcription	ts	chr19	17402940	17421045
hg19	transcription	ts	chr19	17434032	17445638
hg19	transcription	ts	chr19	17462257	17488159
hg19	transcription	ts	chr19	17513748	17516457
hg19	transcription	ts	chr19	17546318	17559376
hg19	transcription	ts	chr19	17547420	17571613
hg19	transcription	ts	chr19	17566234	17571763
hg19	transcription	ts	chr19	17712137	17799401
hg19	transcription	ts	chr19	17927321	17932383
hg19	transcription	ts	chr19	17935589	17958880
hg19	transcription	ts	chr19	18169805	18209759
hg19	transcription	ts	chr19	18307594	18314884
hg19	transcription	ts	chr19	18318771	18366229
hg19	transcription	ts	chr19	18367906	18385319
hg19	transcription	ts	chr19	18390563	18392432
hg19	transcription	ts	chr19	18417040	18434084
hg19	transcription	ts	chr19	18501954	18508427
hg19	transcription	ts	chr19	18545198	18549111
hg19	transcription	ts	chr19	18553473	18632937
hg19	transcription	ts	chr19	18642568	18654863
hg19	transcription	ts	chr19	18683030	18718551
hg19	transcription	ts	chr19	18893583	18902123
hg19	transcription	ts	chr19	18979361	19007536
hg19	transcription	ts	chr19	18979361	19006905
hg19	transcription	ts	chr19	19010323	19030206
hg19	transcription	ts	chr19	19017822	19045206
hg19	transcription	ts	chr19	19040010	19052070
hg19	transcription	ts	chr19	19101697	19144832
hg19	transcription	ts	chr19	19229978	19249322
hg19	transcription	ts	chr19	19256376	19302967
hg19	transcription	ts	chr19	19256377	19303400
hg19	transcription	ts	chr19	19287712	19303400
hg19	transcription	ts	chr19	19312219	19314233
hg19	transcription	ts	chr19	19366450	19373605
hg19	transcription	ts	chr19	19375173	19384200
hg19	transcription	ts	chr19	19386827	19432123
hg19	transcription	ts	chr19	19623222	19626838
hg19	transcription	ts	chr19	19672522	19729725
hg19	transcription	ts	chr19	19734477	19739739
hg19	transcription	ts	chr19	19740285	19754476
hg19	transcription	ts	chr19	19756007	19774502
hg19	transcription	ts	chr19	19821280	19843906
hg19	transcription	ts	chr19	19896648	19932560
hg19	transcription	ts	chr19	20047769	20048639
hg19	transcription	ts	chr19	20107867	20150315
hg19	transcription	ts	chr19	20718631	20748615
hg19	transcription	ts	chr19	20802867	20844402
hg19	transcription	ts	chr19	21473962	21512227
hg19	transcription	ts	chr19	21905568	21950430
hg19	transcription	ts	chr19	21987752	22034927
hg19	transcription	ts	chr19	22115760	22193751
hg19	transcription	ts	chr19	22361893	22379753
hg19	transcription	ts	chr19	22573821	22715287
hg19	transcription	ts	chr19	22939007	22966909
hg19	transcription	ts	chr19	23158270	23185978
hg19	transcription	ts	chr19	23404401	23433192
hg19	transcription	ts	chr19	23487793	23578362
hg19	transcription	ts	chr19	23708433	23870022
hg19	transcription	ts	chr19	23921997	23941693
hg19	transcription	ts	chr19	29698173	29704448
hg19	transcription	ts	chr19	30191721	30206364
hg19	transcription	ts	chr19	31765851	31840453
hg19	transcription	ts	chr19	33087913	33167028
hg19	transcription	ts	chr19	33321415	33360672
hg19	transcription	ts	chr19	33369908	33462897
hg19	transcription	ts	chr19	33469499	33555794
hg19	transcription	ts	chr19	33699571	33716756
hg19	transcription	ts	chr19	33790840	33793470
hg19	transcription	ts	chr19	33877856	34012700
hg19	transcription	ts	chr19	35084234	35166604
hg19	transcription	ts	chr19	35248979	35264134
hg19	transcription	ts	chr19	35447258	35454953
hg19	transcription	ts	chr19	35615417	35633355
hg19	transcription	ts	chr19	35715703	35719632
hg19	transcription	ts	chr19	35978226	35986460
hg19	transcription	ts	chr19	35988122	36004560
hg19	transcription	ts	chr19	36014269	36019253
hg19	transcription	ts	chr19	36040945	36054560
hg19	transcription	ts	chr19	36230058	36233354
hg19	transcription	ts	chr19	36230153	36236333
hg19	transcription	ts	chr19	36233428	36236346
hg19	transcription	ts	chr19	36245469	36248980
hg19	transcription	ts	chr19	36290890	36304201
hg19	transcription	ts	chr19	36316866	36360189
hg19	transcription	ts	chr19	36378555	36393205
hg19	transcription	ts	chr19	36395303	36399197
hg19	transcription	ts	chr19	36494209	36499695
hg19	transcription	ts	chr19	36500022	36505141
hg19	transcription	ts	chr19	36505562	36524245
hg19	transcription	ts	chr19	36525887	36545664
hg19	transcription	ts	chr19	36604612	36606248
hg19	transcription	ts	chr19	36641824	36643771
hg19	transcription	ts	chr19	36673188	36737159
hg19	transcription	ts	chr19	36827162	36870101
hg19	transcription	ts	chr19	36874022	36909558
hg19	transcription	ts	chr19	36936021	36980804
hg19	transcription	ts	chr19	37001597	37019562
hg19	transcription	ts	chr19	37025676	37096178
hg19	transcription	ts	chr19	37128094	37157755
hg19	transcription	ts	chr19	37205285	37263727
hg19	transcription	ts	chr19	37308330	37341689
hg19	transcription	ts	chr19	37379026	37407193
hg19	transcription	ts	chr19	37583921	37701414
hg19	transcription	ts	chr19	37597636	37663643
hg19	transcription	ts	chr19	37672481	37709055
hg19	transcription	ts	chr19	37902057	37960177
hg19	transcription	ts	chr19	38045684	38085673
hg19	transcription	ts	chr19	38104650	38183238
hg19	transcription	ts	chr19	38158652	38183223
hg19	transcription	ts	chr19	38180766	38210089
hg19	transcription	ts	chr19	38187264	38210691
hg19	transcription	ts	chr19	38226734	38307940
hg19	transcription	ts	chr19	38375463	38397317
hg19	transcription	ts	chr19	38701646	38720354
hg19	transcription	ts	chr19	38741877	38747231
hg19	transcription	ts	chr19	38795753	38807913
hg19	transcription	ts	chr19	38874905	38878722
hg19	transcription	ts	chr19	38899695	38916945
hg19	transcription	ts	chr19	39078281	39109522
hg19	transcription	ts	chr19	39220827	39260544
hg19	transcription	ts	chr19	39261611	39264132
hg19	transcription	ts	chr19	39292311	39304004
hg19	transcription	ts	chr19	39306062	39322645
hg19	transcription	ts	chr19	39308111	39330818
hg19	transcription	ts	chr19	39327028	39342987
hg19	transcription	ts	chr19	39358470	39368919
hg19	transcription	ts	chr19	39369197	39390502
hg19	transcription	ts	chr19	39399620	39402798
hg19	transcription	ts	chr19	39405906	39440495
hg19	transcription	ts	chr19	39406044	39440495
hg19	transcription	ts	chr19	39432044	39466550
hg19	transcription	ts	chr19	39481354	39523425
hg19	transcription	ts	chr19	39693471	39694906
hg19	transcription	ts	chr19	39734246	39735646
hg19	transcription	ts	chr19	39797208	39805976
hg19	transcription	ts	chr19	39818993	39833012
hg19	transcription	ts	chr19	39876492	39881835
hg19	transcription	ts	chr19	39923847	39926588
hg19	transcription	ts	chr19	40021630	40023494
hg19	transcription	ts	chr19	40028890	40030870
hg19	transcription	ts	chr19	40221890	40228668
hg19	transcription	ts	chr19	40315990	40324841
hg19	transcription	ts	chr19	40325098	40337054
hg19	transcription	ts	chr19	40353963	40440533
hg19	transcription	ts	chr19	40534167	40562116
hg19	transcription	ts	chr19	40575059	40596845
hg19	transcription	ts	chr19	40721965	40724306
hg19	transcription	ts	chr19	40728115	40732597
hg19	transcription	ts	chr19	40736224	40791443
hg19	transcription	ts	chr19	40825443	40854434
hg19	transcription	ts	chr19	40885178	40896094
hg19	transcription	ts	chr19	40899675	40919273
hg19	transcription	ts	chr19	40927499	40931932
hg19	transcription	ts	chr19	40946751	40950612
hg19	transcription	ts	chr19	40953696	40971747
hg19	transcription	ts	chr19	41172596	41196877
hg19	transcription	ts	chr19	41197434	41224112
hg19	transcription	ts	chr19	41246761	41257458
hg19	transcription	ts	chr19	41349443	41356352
hg19	transcription	ts	chr19	41381344	41388657
hg19	transcription	ts	chr19	41807492	41859816
hg19	transcription	ts	chr19	41860326	41870078
hg19	transcription	ts	chr19	41892279	41903384
hg19	transcription	ts	chr19	41931264	41934635
hg19	transcription	ts	chr19	41937223	41946622
hg19	transcription	ts	chr19	42125344	42133442
hg19	transcription	ts	chr19	42177235	42210895
hg19	transcription	ts	chr19	42341148	42348760
hg19	transcription	ts	chr19	42460833	42463542
hg19	transcription	ts	chr19	42470734	42501649
hg19	transcription	ts	chr19	42502473	42573650
hg19	transcription	ts	chr19	42590263	42700737
hg19	transcription	ts	chr19	42702750	42724292
hg19	transcription	ts	chr19	42734338	42746777
hg19	transcription	ts	chr19	42738735	42759284
hg19	transcription	ts	chr19	42751724	42759309
hg19	transcription	ts	chr19	42801185	42807698
hg19	transcription	ts	chr19	42891171	42894439
hg19	transcription	ts	chr19	42905659	42931578
hg19	transcription	ts	chr19	42932440	42947200
hg19	transcription	ts	chr19	43011456	43065386
hg19	transcription	ts	chr19	43084393	43099207
hg19	transcription	ts	chr19	43225790	43244721
hg19	transcription	ts	chr19	43256838	43359843
hg19	transcription	ts	chr19	43370616	43383974
hg19	transcription	ts	chr19	43406231	43423715
hg19	transcription	ts	chr19	43511808	43530664
hg19	transcription	ts	chr19	43568363	43587197
hg19	transcription	ts	chr19	43670408	43690688
hg19	transcription	ts	chr19	43696854	43711451
hg19	transcription	ts	chr19	43715943	43773682
hg19	transcription	ts	chr19	43964939	43969812
hg19	transcription	ts	chr19	43979106	44009087
hg19	transcription	ts	chr19	44010871	44031396
hg19	transcription	ts	chr19	44047192	44084625
hg19	transcription	ts	chr19	44058844	44097188
hg19	transcription	ts	chr19	44088521	44100287
hg19	transcription	ts	chr19	44111371	44124026
hg19	transcription	ts	chr19	44126520	44143991
hg19	transcription	ts	chr19	44150247	44174699
hg19	transcription	ts	chr19	44235301	44259142
hg19	transcription	ts	chr19	44270685	44285409
hg19	transcription	ts	chr19	44300081	44331358
hg19	transcription	ts	chr19	44376515	44405537
hg19	transcription	ts	chr19	44416781	44439430
hg19	transcription	ts	chr19	44732882	44809199
hg19	transcription	ts	chr19	44830708	44871377
hg19	transcription	ts	chr19	44833848	44905774
hg19	transcription	ts	chr19	44886459	44905774
hg19	transcription	ts	chr19	44921685	44952766
hg19	transcription	ts	chr19	44979854	45004576
hg19	transcription	ts	chr19	45453301	45457264
hg19	transcription	ts	chr19	45574758	45579846
hg19	transcription	ts	chr19	45653008	45663408
hg19	transcription	ts	chr19	45666186	45681495
hg19	transcription	ts	chr19	45715879	45737469
hg19	transcription	ts	chr19	45809672	45826235
hg19	transcription	ts	chr19	45853095	45874176
hg19	transcription	ts	chr19	45882892	45909607
hg19	transcription	ts	chr19	45910591	45982086
hg19	transcription	ts	chr19	45988547	46000319
hg19	transcription	ts	chr19	46030685	46105470
hg19	transcription	ts	chr19	46093022	46105466
hg19	transcription	ts	chr19	46110252	46148887
hg19	transcription	ts	chr19	46190712	46195827
hg19	transcription	ts	chr19	46213887	46234162
hg19	transcription	ts	chr19	46268043	46272484
hg19	transcription	ts	chr19	46272975	46285810
hg19	transcription	ts	chr19	46282695	46289231
hg19	transcription	ts	chr19	46286205	46296060
hg19	transcription	ts	chr19	46298968	46318577
hg19	transcription	ts	chr19	46318668	46366548
hg19	transcription	ts	chr19	46386866	46389376
hg19	transcription	ts	chr19	46393278	46405862
hg19	transcription	ts	chr19	46416475	46418036
hg19	transcription	ts	chr19	46436992	46476804
hg19	transcription	ts	chr19	46522411	46526323
hg19	transcription	ts	chr19	46543006	46580376
hg19	transcription	ts	chr19	46623328	46627931
hg19	transcription	ts	chr19	46913629	46916841
hg19	transcription	ts	chr19	46969748	46974820
hg19	transcription	ts	chr19	46984053	47104457
hg19	transcription	ts	chr19	46990163	46999755
hg19	transcription	ts	chr19	47050313	47104118
hg19	transcription	ts	chr19	47123725	47128375
hg19	transcription	ts	chr19	47137333	47137942
hg19	transcription	ts	chr19	47150869	47164395
hg19	transcription	ts	chr19	47177532	47220384
hg19	transcription	ts	chr19	47222764	47250251
hg19	transcription	ts	chr19	47278140	47291851
hg19	transcription	ts	chr19	47341393	47354249
hg19	transcription	ts	chr19	47549165	47551888
hg19	transcription	ts	chr19	47567444	47617009
hg19	transcription	ts	chr19	47724081	47736023
hg19	transcription	ts	chr19	47906381	47922780
hg19	transcription	ts	chr19	47931274	47975425
hg19	transcription	ts	chr19	47978401	47987525
hg19	transcription	ts	chr19	47990894	48018497
hg19	transcription	ts	chr19	48023942	48059113
hg19	transcription	ts	chr19	48304500	48322308
hg19	transcription	ts	chr19	48373723	48389654
hg19	transcription	ts	chr19	48471303	48495427
hg19	transcription	ts	chr19	48533210	48547310
hg19	transcription	ts	chr19	48551100	48614074
hg19	transcription	ts	chr19	48618702	48673860
hg19	transcription	ts	chr19	48684027	48759203
hg19	transcription	ts	chr19	48799714	48825130
hg19	transcription	ts	chr19	48835613	48867494
hg19	transcription	ts	chr19	48885827	48894810
hg19	transcription	ts	chr19	48988528	49016446
hg19	transcription	ts	chr19	49104067	49118111
hg19	transcription	ts	chr19	49118585	49122793
hg19	transcription	ts	chr19	49133287	49140695
hg19	transcription	ts	chr19	49141199	49149569
hg19	transcription	ts	chr19	49164664	49176338
hg19	transcription	ts	chr19	49215999	49222978
hg19	transcription	ts	chr19	49223844	49243978
hg19	transcription	ts	chr19	49244109	49250166
hg19	transcription	ts	chr19	49251268	49258647
hg19	transcription	ts	chr19	49298319	49314286
hg19	transcription	ts	chr19	49316274	49339935
hg19	transcription	ts	chr19	49340354	49371889
hg19	transcription	ts	chr19	49384222	49401990
hg19	transcription	ts	chr19	49471382	49496567
hg19	transcription	ts	chr19	49519237	49520338
hg19	transcription	ts	chr19	49526126	49527590
hg19	transcription	ts	chr19	49526210	49540152
hg19	transcription	ts	chr19	49538831	49552006
hg19	transcription	ts	chr19	49550895	49552400
hg19	transcription	ts	chr19	49557531	49562117
hg19	transcription	ts	chr19	49559050	49568333
hg19	transcription	ts	chr19	49570675	49576198
hg19	transcription	ts	chr19	49621655	49622397
hg19	transcription	ts	chr19	49654455	49658681
hg19	transcription	ts	chr19	49792895	49828482
hg19	transcription	ts	chr19	49843852	49865714
hg19	transcription	ts	chr19	49925671	49926698
hg19	transcription	ts	chr19	49932658	49945617
hg19	transcription	ts	chr19	49949555	49956754
hg19	transcription	ts	chr19	50058968	50093519
hg19	transcription	ts	chr19	50138549	50143458
hg19	transcription	ts	chr19	50162826	50169132
hg19	transcription	ts	chr19	50243010	50266587
hg19	transcription	ts	chr19	50310126	50320633
hg19	transcription	ts	chr19	50364461	50371166
hg19	transcription	ts	chr19	50372295	50381716
hg19	transcription	ts	chr19	50392911	50432796
hg19	transcription	ts	chr19	50410082	50433020
hg19	transcription	ts	chr19	50412758	50461648
hg19	transcription	ts	chr19	50452242	50464429
hg19	transcription	ts	chr19	50479724	50529203
hg19	transcription	ts	chr19	50655805	50666452
hg19	transcription	ts	chr19	50815194	50836772
hg19	transcription	ts	chr19	50861734	50869087
hg19	transcription	ts	chr19	50970042	50980010
hg19	transcription	ts	chr19	51009255	51014610
hg19	transcription	ts	chr19	51014857	51017947
hg19	transcription	ts	chr19	51020149	51071302
hg19	transcription	ts	chr19	51124564	51171651
hg19	transcription	ts	chr19	51165084	51222707
hg19	transcription	ts	chr19	51300961	51308186
hg19	transcription	ts	chr19	51322404	51327043
hg19	transcription	ts	chr19	51328545	51340469
hg19	transcription	ts	chr19	51377552	51378040
hg19	transcription	ts	chr19	51409608	51413994
hg19	transcription	ts	chr19	51446559	51456349
hg19	transcription	ts	chr19	51461887	51472929
hg19	transcription	ts	chr19	51479729	51487355
hg19	transcription	ts	chr19	51499263	51505967
hg19	transcription	ts	chr19	51499274	51512837
hg19	transcription	ts	chr19	51503806	51512890
hg19	transcription	ts	chr19	51515995	51523431
hg19	transcription	ts	chr19	51525472	51531295
hg19	transcription	ts	chr19	51532348	51538486
hg19	transcription	ts	chr19	51559463	51568371
hg19	transcription	ts	chr19	51580752	51587502
hg19	transcription	ts	chr19	51600863	51611627
hg19	transcription	ts	chr19	51834790	51845378
hg19	transcription	ts	chr19	51848423	51869672
hg19	transcription	ts	chr19	51853627	51871353
hg19	transcription	ts	chr19	51870352	51872257
hg19	transcription	ts	chr19	51874860	51875969
hg19	transcription	ts	chr19	51883163	51891214
hg19	transcription	ts	chr19	51891543	51893828
hg19	transcription	ts	chr19	51913275	51921057
hg19	transcription	ts	chr19	51954101	51961710
hg19	transcription	ts	chr19	51994611	52005043
hg19	transcription	ts	chr19	52022779	52035110
hg19	transcription	ts	chr19	52095036	52097633
hg19	transcription	ts	chr19	52114781	52150151
hg19	transcription	ts	chr19	52115344	52150142
hg19	transcription	ts	chr19	52145806	52150054
hg19	transcription	ts	chr19	52216365	52227247
hg19	transcription	ts	chr19	52248425	52307363
hg19	transcription	ts	chr19	52359055	52394203
hg19	transcription	ts	chr19	52392477	52408293
hg19	transcription	ts	chr19	52467596	52490109
hg19	transcription	ts	chr19	52494585	52511483
hg19	transcription	ts	chr19	52516018	52533493
hg19	transcription	ts	chr19	52534632	52598991
hg19	transcription	ts	chr19	52567719	52599018
hg19	transcription	ts	chr19	52616344	52643175
hg19	transcription	ts	chr19	52657117	52674896
hg19	transcription	ts	chr19	53097313	53193749
hg19	transcription	ts	chr19	53206066	53238326
hg19	transcription	ts	chr19	53267448	53290044
hg19	transcription	ts	chr19	53300662	53360853
hg19	transcription	ts	chr19	53341261	53360902
hg19	transcription	ts	chr19	53367043	53400946
hg19	transcription	ts	chr19	53430388	53466164
hg19	transcription	ts	chr19	53431728	53466076
hg19	transcription	ts	chr19	53569859	53606689
hg19	transcription	ts	chr19	53611132	53636330
hg19	transcription	ts	chr19	53627325	53662328
hg19	transcription	ts	chr19	53662466	53696639
hg19	transcription	ts	chr19	53731577	53758151
hg19	transcription	ts	chr19	53769929	53770972
hg19	transcription	ts	chr19	53792856	53794875
hg19	transcription	ts	chr19	54102882	54106751
hg19	transcription	ts	chr19	54296857	54327648
hg19	transcription	ts	chr19	54544079	54567207
hg19	transcription	ts	chr19	54573149	54584634
hg19	transcription	ts	chr19	54597933	54606000
hg19	transcription	ts	chr19	54610320	54619055
hg19	transcription	ts	chr19	54658899	54663620
hg19	transcription	ts	chr19	54663846	54676944
hg19	transcription	ts	chr19	54677107	54693733
hg19	transcription	ts	chr19	54720147	54746602
hg19	transcription	ts	chr19	54720737	54746649
hg19	transcription	ts	chr19	54754263	54761164
hg19	transcription	ts	chr19	54777675	54785039
hg19	transcription	ts	chr19	54799854	54809952
hg19	transcription	ts	chr19	54818353	54824409
hg19	transcription	ts	chr19	54844456	54850421
hg19	transcription	ts	chr19	54865362	54882165
hg19	transcription	ts	chr19	54972981	54974894
hg19	transcription	ts	chr19	54976210	54984411
hg19	transcription	ts	chr19	55147173	55150343
hg19	transcription	ts	chr19	55434877	55477680
hg19	transcription	ts	chr19	55525073	55549632
hg19	transcription	ts	chr19	55550476	55582659
hg19	transcription	ts	chr19	55602281	55628927
hg19	transcription	ts	chr19	55644162	55660722
hg19	transcription	ts	chr19	55663137	55669141
hg19	transcription	ts	chr19	55666125	55672039
hg19	transcription	ts	chr19	55670031	55678090
